ss_id,latitude_rounded,longitude_rounded,llsoacd,orientation,tilt,kwp,operational_at
2578,51.43,-2.0,E01031903,180.0,40.0,2.59,2011-07-08
2579,53.64,-2.31,E01005022,190.0,35.0,3.42,2011-07-14
2580,53.46,-2.11,E01005970,198.0,25.0,3.42,2011-07-15
2581,53.13,0.13,E01026059,200.0,35.0,1.61,2011-07-15
2582,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-20
2583,53.33,-2.7,E01012384,270.0,30.0,0.88,2011-07-20
2584,53.33,-2.7,E01012384,270.0,30.0,0.88,2011-07-20
2585,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-20
2586,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-20
2587,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-20
2588,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-20
2589,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-07-28
2590,52.85,-2.73,E01028890,135.0,45.0,3.96,2011-07-27
2591,53.52,-2.11,E01005438,180.0,35.0,0.66,2011-08-03
2592,53.52,-2.11,E01005438,180.0,35.0,0.66,2011-08-03
2593,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-03
2594,53.46,-1.48,E01007895,180.0,30.0,3.29,2011-08-03
2595,50.77,-1.91,E01015303,175.0,28.0,2.35,2011-08-04
2596,50.75,-1.9,E01015357,145.0,35.0,2.35,2011-08-04
2597,53.1,-0.05,E01026057,190.0,36.0,2.53,2011-08-04
2598,51.38,-2.4,E01014462,174.0,30.0,2.59,2011-08-04
2599,53.22,0.1,E01026068,200.0,6.0,3.0,2011-08-11
2600,53.26,0.18,E01026042,150.0,5.0,1.15,2011-08-08
2601,53.1,-0.05,E01026057,190.0,36.0,2.07,2011-08-03
2602,51.24,-1.11,E01022479,182.0,25.0,2.59,2011-08-02
2603,51.7,-4.71,W01000610,210.0,32.0,3.96,2012-04-02
2604,51.81,1.16,E01021984,205.0,30.0,2.52,2011-10-03
2605,51.46,-0.9,E01016624,158.0,30.0,3.42,2011-08-09
2606,53.43,-1.11,E01007616,180.0,30.0,3.29,2011-08-18
2607,52.44,-0.12,E01018211,200.0,35.0,2.94,2011-08-25
2608,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-11
2609,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-11
2610,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-11
2611,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-12
2612,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-11
2613,53.44,-2.92,E01006599,270.0,30.0,0.66,2011-08-11
2614,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-11
2615,53.42,-2.52,E01012459,156.0,22.0,3.42,2011-08-11
2616,51.36,-2.13,E01032072,180.0,30.0,3.42,2011-08-12
2617,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-12
2618,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-12
2619,53.52,-2.11,E01005438,180.0,35.0,0.66,2011-08-12
2620,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-12
2621,53.1,-0.05,E01026057,190.0,36.0,2.07,2011-08-05
2622,53.56,-3.08,E01006986,170.0,32.0,3.42,2011-08-12
2623,53.16,0.12,E01026059,185.0,30.0,2.76,2011-08-12
2624,53.09,0.08,E01026102,185.0,50.0,2.76,2011-08-12
2625,50.38,-4.22,E01033294,190.0,38.0,2.35,2011-08-23
2626,54.99,-3.18,S00097762,270.0,22.0,3.6,2011-08-18
2627,51.2,-2.19,E01032106,197.0,25.0,3.42,2011-08-16
2628,50.99,-1.37,E01022706,225.0,34.0,1.38,2011-09-20
2629,54.57,-1.23,E01033468,165.0,26.0,8.97,2011-08-25
2630,52.27,-2.15,E01032359,60.0,40.0,1.88,2011-08-18
2631,51.81,-2.5,E01022250,130.0,30.0,4.0,2011-08-27
2632,53.36,0.08,E01026058,160.0,35.0,2.3,2011-08-18
2633,51.45,-2.1,E01031916,202.0,30.0,2.59,2011-08-18
2634,53.87,-3.04,E01012663,180.0,25.0,3.42,2011-08-18
2635,53.09,0.01,E01026102,175.0,34.0,2.76,2011-08-18
2636,52.1,-2.32,E01032186,180.0,40.0,1.88,2011-08-19
2637,52.06,-2.3,E01032200,180.0,40.0,1.88,2011-08-19
2638,51.24,-2.55,E01029018,150.0,40.0,3.96,2011-08-24
2639,53.41,-2.64,E01012562,160.0,25.0,3.42,2011-08-19
2640,51.44,-2.01,E01031900,190.0,20.0,3.42,2011-08-19
2641,52.25,0.73,E01030127,265.0,45.0,3.92,2011-08-24
2642,50.77,-1.91,E01015304,142.0,35.0,2.35,2011-08-22
2643,50.75,-1.89,E01015357,157.0,25.0,2.35,2011-08-22
2644,50.77,-1.91,E01015304,142.0,35.0,2.35,2011-08-22
2645,50.77,-1.91,E01015304,142.0,35.0,2.35,2011-08-22
2646,50.77,-1.91,E01015304,219.0,38.0,2.35,2011-08-22
2647,50.77,-1.91,E01015304,142.0,35.0,2.35,2011-08-22
2648,50.75,-1.91,E01015309,198.0,30.0,2.35,2011-08-22
2649,50.75,-1.89,E01015357,162.0,28.0,2.35,2011-08-22
2650,50.75,-1.89,E01015357,162.0,28.0,2.35,2011-08-22
2651,51.95,-1.54,E01028795,180.0,38.0,2.28,2011-08-22
2652,51.87,-1.48,E01028778,180.0,38.0,2.28,2011-08-22
2653,51.75,-1.4,E01028800,180.0,38.0,2.28,2011-08-22
2654,51.86,-1.62,E01028798,180.0,38.0,2.28,2011-08-22
2655,52.98,-0.29,E01026200,210.0,30.0,1.38,2011-08-19
